"","StartDate","SiteID","Latitude","Longitude","Elevation","AphidCount","Julian_Day","Aphids_DD","New_hidro","dl","dlD","CumAphid","PrAphid"
"1",2020-06-10,"1A",46.67312,-117.13246,764,1,162,501.683204137229,16.21212617,15.5805527777778,15.5805527777778,0.125,0.125
"2",2020-06-15,"1A",46.67312,-117.13246,764,2,167,544.078204137229,16.21212617,15.6309833333333,15.6309833333333,0.375,0.25
"3",2020-06-21,"1A",46.67312,-117.13246,764,3,173,607.733204137229,16.21212617,15.6487,15.6487,0.75,0.375
"4",2020-06-25,"1A",46.67312,-117.13246,764,1,177,665.431765225361,16.21212617,15.6342861111111,15.6631138888889,0.875,0.125
"5",2020-06-30,"1A",46.67312,-117.13246,764,0,182,720.260533542424,16.21212617,15.5870833333333,15.7103166666667,0.875,0
"6",2020-07-05,"1A",46.67312,-117.13246,764,0,187,771.730533542424,16.21212617,15.5084305555556,15.7889694444444,0.875,0
"7",2020-07-10,"1A",46.67312,-117.13246,764,0,192,829.990533542424,16.21212617,15.3999388888889,15.8974611111111,0.875,0
"8",2020-07-15,"1A",46.67312,-117.13246,764,1,197,892.949052790746,16.21212617,15.2637166666667,16.0336833333333,1,0.125
"9",2020-06-10,"1B",46.6108,-117.2417,806,9,162,491.636744783597,5.39130322,15.5728138888889,15.5728138888889,0.473684210526316,0.473684210526316
"10",2020-06-15,"1B",46.6108,-117.2417,806,0,167,533.506744783597,5.39130322,15.6231166666667,15.6231166666667,0.473684210526316,0
"11",2020-06-21,"1B",46.6108,-117.2417,806,6,173,596.451744783597,5.39130322,15.6407888888889,15.6407888888889,0.789473684210526,0.315789473684211
"12",2020-06-25,"1B",46.6108,-117.2417,806,0,177,654.523462215034,5.39130322,15.6264111111111,15.6551666666667,0.789473684210526,0
"13",2020-06-30,"1B",46.6108,-117.2417,806,1,182,708.784232008093,5.39130322,15.5793277777778,15.70225,0.842105263157895,0.0526315789473684
"14",2020-07-05,"1B",46.6108,-117.2417,806,3,187,760.024232008093,5.39130322,15.5008722222222,15.7807055555556,1,0.157894736842105
"15",2020-07-10,"1B",46.6108,-117.2417,806,0,192,818.144232008093,5.39130322,15.3926472222222,15.8889305555556,1,0
"16",2020-07-15,"1B",46.6108,-117.2417,806,0,197,881.354623243752,5.39130322,15.2567583333333,16.0248194444444,1,0
"25",2020-06-01,"1D",46.73034,-117.14953,787,1,153,414.251985684157,20.00866518,15.4193083333333,15.4193083333333,0.0454545454545455,0.0454545454545455
"26",2020-06-05,"1D",46.73034,-117.14953,787,1,157,450.186985684157,20.00866518,15.5063611111111,15.5063611111111,0.0909090909090909,0.0454545454545455
"27",2020-06-10,"1D",46.73034,-117.14953,787,1,162,482.231985684157,20.00866518,15.5883138888889,15.5883138888889,0.136363636363636,0.0454545454545455
"28",2020-06-15,"1D",46.73034,-117.14953,787,0,167,523.531985684157,20.00866518,15.6388722222222,15.6388722222222,0.136363636363636,0
"29",2020-06-21,"1D",46.73034,-117.14953,787,4,173,585.531985684157,20.00866518,15.6566305555556,15.6566305555556,0.318181818181818,0.181818181818182
"30",2020-06-25,"1D",46.73034,-117.14953,787,0,177,642.152008886558,20.00866518,15.6421805555556,15.6710805555556,0.318181818181818,0
"31",2020-06-30,"1D",46.73034,-117.14953,787,5,182,696.041202512768,20.00866518,15.5948611111111,15.7184,0.545454545454545,0.227272727272727
"32",2020-07-05,"1D",46.73034,-117.14953,787,6,187,746.056202512768,20.00866518,15.5160083333333,15.7972527777778,0.818181818181818,0.272727272727273
"33",2020-07-10,"1D",46.73034,-117.14953,787,2,192,802.806202512768,20.00866518,15.4072472222222,15.9060138888889,0.909090909090909,0.0909090909090909
"34",2020-07-15,"1D",46.73034,-117.14953,787,2,197,864.067822075718,20.00866518,15.2706944444444,16.0425666666667,1,0.0909090909090909
"35",2020-06-10,"2A",46.58228,-117.11867,798,2,162,500.597287588497,10.98118752,15.5728138888889,15.5728138888889,0.153846153846154,0.153846153846154
"36",2020-06-15,"2A",46.58228,-117.11867,798,3,167,542.792287588497,10.98118752,15.6231166666667,15.6231166666667,0.384615384615385,0.230769230769231
"37",2020-06-21,"2A",46.58228,-117.11867,798,2,173,606.552287588497,10.98118752,15.6407888888889,15.6407888888889,0.538461538461538,0.153846153846154
"38",2020-06-25,"2A",46.58228,-117.11867,798,1,177,665.029978246684,10.98118752,15.6264111111111,15.6551666666667,0.615384615384615,0.0769230769230769
"39",2020-06-30,"2A",46.58228,-117.11867,798,1,182,719.235166892156,10.98118752,15.5793277777778,15.70225,0.692307692307692,0.0769230769230769
"40",2020-07-05,"2A",46.58228,-117.11867,798,1,187,771.255166892156,10.98118752,15.5008722222222,15.7807055555556,0.769230769230769,0.0769230769230769
"41",2020-07-10,"2A",46.58228,-117.11867,798,2,192,830.025166892156,10.98118752,15.3926472222222,15.8889305555556,0.923076923076923,0.153846153846154
"42",2020-07-15,"2A",46.58228,-117.11867,798,1,197,894.095780160658,10.98118752,15.2567583333333,16.0248194444444,1,0.0769230769230769
"43",2020-06-10,"2B",46.62092,-117.22963,775,9,162,505.430792853595,6.8450898,15.5728138888889,15.5728138888889,0.409090909090909,0.409090909090909
"44",2020-06-15,"2B",46.62092,-117.22963,775,1,167,548.145792853595,6.8450898,15.6231166666667,15.6231166666667,0.454545454545455,0.0454545454545455
"45",2020-06-21,"2B",46.62092,-117.22963,775,9,173,612.190792853595,6.8450898,15.6407888888889,15.6407888888889,0.863636363636364,0.409090909090909
"46",2020-06-25,"2B",46.62092,-117.22963,775,0,177,670.662742550635,6.8450898,15.6264111111111,15.6551666666667,0.863636363636364,0
"47",2020-06-30,"2B",46.62092,-117.22963,775,0,182,725.851903630445,6.8450898,15.5793277777778,15.70225,0.863636363636364,0
"48",2020-07-05,"2B",46.62092,-117.22963,775,2,187,777.851903630445,6.8450898,15.5008722222222,15.7807055555556,0.954545454545455,0.0909090909090909
"49",2020-07-10,"2B",46.62092,-117.22963,775,0,192,836.766903630445,6.8450898,15.3926472222222,15.8889305555556,0.954545454545455,0
"50",2020-07-15,"2B",46.62092,-117.22963,775,1,197,900.615229403895,6.8450898,15.2567583333333,16.0248194444444,1,0.0454545454545455
"51",2020-06-10,"2C",46.74024,-117.4021,698,2,162,525.171010984119,6.46633654,15.5883138888889,15.5883138888889,0.142857142857143,0.142857142857143
"52",2020-06-15,"2C",46.74024,-117.4021,698,1,167,569.391010984119,6.46633654,15.6388722222222,15.6388722222222,0.214285714285714,0.0714285714285714
"53",2020-06-21,"2C",46.74024,-117.4021,698,5,173,634.931010984119,6.46633654,15.6566305555556,15.6566305555556,0.571428571428571,0.357142857142857
"54",2020-06-25,"2C",46.74024,-117.4021,698,1,177,693.991021284196,6.46633654,15.6421805555556,15.6710805555556,0.642857142857143,0.0714285714285714
"55",2020-06-30,"2C",46.74024,-117.4021,698,0,182,751.821996694708,6.46633654,15.5948611111111,15.7184,0.642857142857143,0
"56",2020-07-05,"2C",46.74024,-117.4021,698,4,187,804.601996694708,6.46633654,15.5160083333333,15.7972527777778,0.928571428571429,0.285714285714286
"57",2020-07-10,"2C",46.74024,-117.4021,698,1,192,864.606996694708,6.46633654,15.4072472222222,15.9060138888889,1,0.0714285714285714
"58",2020-07-15,"2C",46.74024,-117.4021,698,0,197,928.761296641269,6.46633654,15.2706944444444,16.0425666666667,1,0
"59",2020-06-01,"2D",46.73121,-117.1474,787,3,153,414.251985684157,20.19757156,15.4193083333333,15.4193083333333,0.214285714285714,0.214285714285714
"60",2020-06-05,"2D",46.73121,-117.1474,787,3,157,450.186985684157,20.19757156,15.5063611111111,15.5063611111111,0.428571428571429,0.214285714285714
"61",2020-06-10,"2D",46.73121,-117.1474,787,0,162,482.231985684157,20.19757156,15.5883138888889,15.5883138888889,0.428571428571429,0
"62",2020-06-15,"2D",46.73121,-117.1474,787,0,167,523.531985684157,20.19757156,15.6388722222222,15.6388722222222,0.428571428571429,0
"63",2020-06-21,"2D",46.73121,-117.1474,787,0,173,585.531985684157,20.19757156,15.6566305555556,15.6566305555556,0.428571428571429,0
"64",2020-06-25,"2D",46.73121,-117.1474,787,0,177,642.152008886558,20.19757156,15.6421805555556,15.6710805555556,0.428571428571429,0
"65",2020-06-30,"2D",46.73121,-117.1474,787,5,182,696.041202512768,20.19757156,15.5948611111111,15.7184,0.785714285714286,0.357142857142857
"66",2020-07-05,"2D",46.73121,-117.1474,787,2,187,746.056202512768,20.19757156,15.5160083333333,15.7972527777778,0.928571428571429,0.142857142857143
"67",2020-07-10,"2D",46.73121,-117.1474,787,1,192,802.806202512768,20.19757156,15.4072472222222,15.9060138888889,1,0.0714285714285714
"68",2020-07-15,"2D",46.73121,-117.1474,787,0,197,864.067822075718,20.19757156,15.2706944444444,16.0425666666667,1,0
"69",2020-06-10,"3A",46.55882,-117.12294,811,7,162,499.588766681715,9.76648846,15.5650972222222,15.5650972222222,0.21875,0.21875
"70",2020-06-15,"3A",46.55882,-117.12294,811,4,167,541.678766681715,9.76648846,15.6152722222222,15.6152722222222,0.34375,0.125
"71",2020-06-21,"3A",46.55882,-117.12294,811,7,173,605.423766681715,9.76648846,15.6328972222222,15.6328972222222,0.5625,0.21875
"72",2020-06-25,"3A",46.55882,-117.12294,811,3,177,664.206817346466,9.76648846,15.6185555555556,15.6472388888889,0.65625,0.09375
